country,iso3,gdp,income_group
Argentina,ARG,5.20E+11,UMC
Armenia,ARM,12433089919,UMC
American Samoa,ASM,636000000,UMC
Azerbaijan,AZE,46939529412,UMC
Bulgaria,BGR,65132951116,UMC
Bosnia and Herzegovina,BIH,20161865419,UMC
Belarus,BLR,59662495092,UMC
Belize,BLZ,1871203164,UMC
Brazil,BRA,1.87E+12,UMC
Botswana,BWA,18616018903,UMC
China,CHN,1.36E+13,UMC
Colombia,COL,3.31E+11,UMC
Costa Rica,CRI,60130106116,UMC
Cuba,CUB,1.00E+11,UMC
Dominica,DMA,550892592.6,UMC
Dominican Republic,DOM,85555390387,UMC
Ecuador,ECU,1.08E+11,UMC
Fiji,FJI,5536759659,UMC
Gabon,GAB,16853589311,UMC
Georgia,GEO,17599660629,UMC
Equatorial Guinea,GNQ,13432377050,UMC
Grenada,GRD,1185925926,UMC
Guatemala,GTM,78460447920,UMC
Guyana,GUY,3878662621,UMC
Indonesia,IDN,1.04E+12,UMC
"Iran, Islamic Rep.",IRN,,UMC
Iraq,IRQ,2.24E+11,UMC
Jamaica,JAM,15713908816,UMC
Jordan,JOR,42231295775,UMC
Kazakhstan,KAZ,1.79E+11,UMC
Lebanon,LBN,56639155556,UMC
Libya,LBY,48364208571,UMC
St. Lucia,LCA,1921848222,UMC
Maldives,MDV,5327457150,UMC
Mexico,MEX,1.22E+12,UMC
Marshall Islands,MHL,221278000,UMC
North Macedonia,MKD,12672131053,UMC
Montenegro,MNE,5504166667,UMC
Malaysia,MYS,3.59E+11,UMC
Namibia,NAM,14521711634,UMC
Peru,PER,2.22E+11,UMC
Paraguay,PRY,40496953779,UMC
Russian Federation,RUS,1.66E+12,UMC
Serbia,SRB,50597289147,UMC
Suriname,SUR,3590753769,UMC
Thailand,THA,5.05E+11,UMC
Turkmenistan,TKM,40761142857,UMC
Tonga,TON,450353313.9,UMC
Turkey,TUR,7.71E+11,UMC
Tuvalu,TUV,42587778.47,UMC
St. Vincent and the Grenadines,VCT,811300000,UMC
"Venezuela, RB",VEN,,UMC
Samoa,WSM,820491798.3,UMC
Kosovo,XKX,7938990793,UMC
South Africa,ZAF,3.68E+11,UMC
Arab World,ARB,2.77E+12,
Central Europe and the Baltics,CEB,1.63E+12,
Caribbean small states,CSS,73523538155,
East Asia & Pacific (excluding high income),EAP,1.63E+13,
Early-demographic dividend,EAR,1.16E+13,
East Asia & Pacific,EAS,2.59E+13,
Europe & Central Asia (excluding high income),ECA,3.41E+12,
Europe & Central Asia,ECS,2.31E+13,
Euro area,EMU,1.36E+13,
European Union,EUU,1.88E+13,
Fragile and conflict affected situations,FCS,8.41E+11,
High income,HIC,5.42E+13,
Heavily indebted poor countries (HIPC),HPC,7.29E+11,
IBRD only,IBD,3.05E+13,
IDA & IBRD total,IBT,3.27E+13,
IDA total,IDA,2.23E+12,
IDA blend,IDB,9.94E+11,
IDA only,IDX,1.24E+12,
Not classified,INX,,
Latin America & Caribbean (excluding high income),LAC,5.20E+12,
Latin America & Caribbean,LCN,5.80E+12,
Least developed countries: UN classification,LDC,1.06E+12,
Low income,LIC,5.88E+11,
Lower middle income,LMC,6.70E+12,
Low & middle income,LMY,3.17E+13,
Late-demographic dividend,LTE,2.22E+13,
Middle East & North Africa,MEA,3.61E+12,
Middle income,MIC,3.12E+13,
Middle East & North Africa (excluding high income),MNA,,
North America,NAC,2.23E+13,
OECD members,OED,5.27E+13,
Other small states,OSS,4.52E+11,
Pre-demographic dividend,PRE,1.32E+12,
Pacific island small states,PSS,10381220343,
Post-demographic dividend,PST,5.01E+13,
South Asia,SAS,3.45E+12,
Sub-Saharan Africa (excluding high income),SSA,1.71E+12,
Sub-Saharan Africa,SSF,1.71E+12,
Small states,SST,5.36E+11,
East Asia & Pacific (IDA & IBRD countries),TEA,1.63E+13,
Europe & Central Asia (IDA & IBRD countries),TEC,4.06E+12,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.56E+12,
Middle East & North Africa (IDA & IBRD countries),TMN,,
South Asia (IDA & IBRD),TSA,3.45E+12,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.71E+12,
Upper middle income,UMC,2.44E+13,
World,WLD,8.59E+13,
